0,1,2,3,4,5
"{'yyyymm': '202211', 'lead': 1, 'target': '2022-12', 'acc': 0.5270797720797721, 'hss': 0.254567887685773}","{'yyyymm': '202211', 'lead': 2, 'target': '2023-01', 'acc': 0.4531125356125356, 'hss': 0.16652716066609727}","{'yyyymm': '202211', 'lead': 3, 'target': '2023-02', 'acc': 0.4648005698005698, 'hss': 0.1427338043692922}","{'yyyymm': '202211', 'lead': 4, 'target': '2023-03', 'acc': 0.4092378917378917, 'hss': 0.048753239199213115}","{'yyyymm': '202211', 'lead': 5, 'target': '2023-04', 'acc': 0.38133903133903135, 'hss': 0.027531499516121063}","{'yyyymm': '202211', 'lead': 6, 'target': '2023-05', 'acc': 0.4308119658119658, 'hss': 0.08406882455642424}"
"{'yyyymm': '202212', 'lead': 1, 'target': '2023-01', 'acc': 0.48324074074074075, 'hss': 0.210145145708011}","{'yyyymm': '202212', 'lead': 2, 'target': '2023-02', 'acc': 0.4807336182336182, 'hss': 0.15739105859423724}","{'yyyymm': '202212', 'lead': 3, 'target': '2023-03', 'acc': 0.43393162393162393, 'hss': 0.0794645006554417}","{'yyyymm': '202212', 'lead': 4, 'target': '2023-04', 'acc': 0.38756410256410256, 'hss': 0.0228178745995693}","{'yyyymm': '202212', 'lead': 5, 'target': '2023-05', 'acc': 0.4788817663817664, 'hss': 0.14112633199061905}","{'yyyymm': '202212', 'lead': 6, 'target': '2023-06', 'acc': 0.487008547008547, 'hss': 0.052424521060247344}"
"{'yyyymm': '202301', 'lead': 1, 'target': '2023-02', 'acc': 0.5085754985754986, 'hss': 0.20530922429949966}","{'yyyymm': '202301', 'lead': 2, 'target': '2023-03', 'acc': 0.45945156695156697, 'hss': 0.11271163904616746}","{'yyyymm': '202301', 'lead': 3, 'target': '2023-04', 'acc': 0.39559116809116807, 'hss': 0.033763463824415585}","{'yyyymm': '202301', 'lead': 4, 'target': '2023-05', 'acc': 0.4625641025641026, 'hss': 0.10918931477482677}","{'yyyymm': '202301', 'lead': 5, 'target': '2023-06', 'acc': 0.48195868945868947, 'hss': 0.038849921973161554}","{'yyyymm': '202301', 'lead': 6, 'target': '2023-07', 'acc': 0.5554843304843304, 'hss': 0.1758700642090431}"
"{'yyyymm': '202302', 'lead': 1, 'target': '2023-03', 'acc': 0.4919729344729345, 'hss': 0.14408161262995864}","{'yyyymm': '202302', 'lead': 2, 'target': '2023-04', 'acc': 0.4245441595441595, 'hss': 0.06030184318531933}","{'yyyymm': '202302', 'lead': 3, 'target': '2023-05', 'acc': 0.47555555555555556, 'hss': 0.10722432872649557}","{'yyyymm': '202302', 'lead': 4, 'target': '2023-06', 'acc': 0.5088034188034188, 'hss': 0.07109831368157601}","{'yyyymm': '202302', 'lead': 5, 'target': '2023-07', 'acc': 0.5761823361823362, 'hss': 0.18882197139223186}","{'yyyymm': '202302', 'lead': 6, 'target': '2023-08', 'acc': 0.5925712250712251, 'hss': 0.15307365106813758}"
"{'yyyymm': '202303', 'lead': 1, 'target': '2023-04', 'acc': 0.471517094017094, 'hss': 0.12893436439913053}","{'yyyymm': '202303', 'lead': 2, 'target': '2023-05', 'acc': 0.5108903133903134, 'hss': 0.1548229181759216}","{'yyyymm': '202303', 'lead': 3, 'target': '2023-06', 'acc': 0.5267521367521367, 'hss': 0.0847679645993384}","{'yyyymm': '202303', 'lead': 4, 'target': '2023-07', 'acc': 0.5689387464387464, 'hss': 0.16936520140393682}","{'yyyymm': '202303', 'lead': 5, 'target': '2023-08', 'acc': 0.5914387464387464, 'hss': 0.14383148256803052}","{'yyyymm': '202303', 'lead': 6, 'target': '2023-09', 'acc': 0.6268732193732194, 'hss': 0.10363941970294478}"
"{'yyyymm': '202304', 'lead': 1, 'target': '2023-05', 'acc': 0.5561965811965812, 'hss': 0.2416970837337043}","{'yyyymm': '202304', 'lead': 2, 'target': '2023-06', 'acc': 0.5428774928774929, 'hss': 0.11755551967075481}","{'yyyymm': '202304', 'lead': 3, 'target': '2023-07', 'acc': 0.5610398860398861, 'hss': 0.15422714050607214}","{'yyyymm': '202304', 'lead': 4, 'target': '2023-08', 'acc': 0.5768162393162393, 'hss': 0.12085169986707248}","{'yyyymm': '202304', 'lead': 5, 'target': '2023-09', 'acc': 0.6228062678062678, 'hss': 0.09211447018388334}","{'yyyymm': '202304', 'lead': 6, 'target': '2023-10', 'acc': 0.60747150997151, 'hss': 0.17087961507758223}"
"{'yyyymm': '202305', 'lead': 1, 'target': '2023-06', 'acc': 0.5619088319088319, 'hss': 0.15433017613171124}","{'yyyymm': '202305', 'lead': 2, 'target': '2023-07', 'acc': 0.5796438746438747, 'hss': 0.17265976320514015}","{'yyyymm': '202305', 'lead': 3, 'target': '2023-08', 'acc': 0.5861538461538461, 'hss': 0.11562563867667298}","{'yyyymm': '202305', 'lead': 4, 'target': '2023-09', 'acc': 0.6343162393162393, 'hss': 0.08801895674873864}","{'yyyymm': '202305', 'lead': 5, 'target': '2023-10', 'acc': 0.6216880341880342, 'hss': 0.18741574349467333}","{'yyyymm': '202305', 'lead': 6, 'target': '2023-11', 'acc': 0.5691524216524216, 'hss': 0.10353032389473868}"
"{'yyyymm': '202306', 'lead': 1, 'target': '2023-07', 'acc': 0.598019943019943, 'hss': 0.2117829502260942}","{'yyyymm': '202306', 'lead': 2, 'target': '2023-08', 'acc': 0.6171794871794872, 'hss': 0.16925052047155842}","{'yyyymm': '202306', 'lead': 3, 'target': '2023-09', 'acc': 0.6447079772079772, 'hss': 0.11646927981299125}","{'yyyymm': '202306', 'lead': 4, 'target': '2023-10', 'acc': 0.6442378917378917, 'hss': 0.20982139469770777}","{'yyyymm': '202306', 'lead': 5, 'target': '2023-11', 'acc': 0.5854772079772079, 'hss': 0.13558637661821857}","{'yyyymm': '202306', 'lead': 6, 'target': '2023-12', 'acc': 0.6613888888888889, 'hss': 0.2523574199723739}"
"{'yyyymm': '202307', 'lead': 1, 'target': '2023-08', 'acc': 0.6452849002849003, 'hss': 0.23950781338074253}","{'yyyymm': '202307', 'lead': 2, 'target': '2023-09', 'acc': 0.6300071225071225, 'hss': 0.1089289254171156}","{'yyyymm': '202307', 'lead': 3, 'target': '2023-10', 'acc': 0.6496794871794872, 'hss': 0.24368776141793252}","{'yyyymm': '202307', 'lead': 4, 'target': '2023-11', 'acc': 0.6005840455840455, 'hss': 0.17243444798511395}","{'yyyymm': '202307', 'lead': 5, 'target': '2023-12', 'acc': 0.6384401709401709, 'hss': 0.2189306544734641}","{'yyyymm': '202307', 'lead': 6, 'target': '2024-01', 'acc': 0.5547222222222222, 'hss': 0.15325036320406152}"
"{'yyyymm': '202308', 'lead': 1, 'target': '2023-09', 'acc': 0.6340883190883191, 'hss': 0.13582145425461437}","{'yyyymm': '202308', 'lead': 2, 'target': '2023-10', 'acc': 0.649537037037037, 'hss': 0.24930086070579818}","{'yyyymm': '202308', 'lead': 3, 'target': '2023-11', 'acc': 0.5966452991452992, 'hss': 0.1710398765985198}","{'yyyymm': '202308', 'lead': 4, 'target': '2023-12', 'acc': 0.6435185185185185, 'hss': 0.23973609995415926}","{'yyyymm': '202308', 'lead': 5, 'target': '2024-01', 'acc': 0.5480982905982906, 'hss': 0.14588708733583228}","{'yyyymm': '202308', 'lead': 6, 'target': '2024-02', 'acc': 0.5683190883190883, 'hss': 0.16703459736595513}"
"{'yyyymm': '202309', 'lead': 1, 'target': '2023-10', 'acc': 0.655940170940171, 'hss': 0.2532081954412771}","{'yyyymm': '202309', 'lead': 2, 'target': '2023-11', 'acc': 0.5783974358974359, 'hss': 0.1453944249435305}","{'yyyymm': '202309', 'lead': 3, 'target': '2023-12', 'acc': 0.6396723646723647, 'hss': 0.25581797371229736}","{'yyyymm': '202309', 'lead': 4, 'target': '2024-01', 'acc': 0.5435612535612535, 'hss': 0.14329222951062595}","{'yyyymm': '202309', 'lead': 5, 'target': '2024-02', 'acc': 0.5980341880341881, 'hss': 0.21807133622852962}","{'yyyymm': '202309', 'lead': 6, 'target': '2024-03', 'acc': 0.5226068376068376, 'hss': 0.059604709199063716}"
"{'yyyymm': '202310', 'lead': 1, 'target': '2023-11', 'acc': 0.6335897435897436, 'hss': 0.26201202749507624}","{'yyyymm': '202310', 'lead': 2, 'target': '2023-12', 'acc': 0.6196866096866097, 'hss': 0.19092847801319499}","{'yyyymm': '202310', 'lead': 3, 'target': '2024-01', 'acc': 0.5577421652421652, 'hss': 0.16874243890068458}","{'yyyymm': '202310', 'lead': 4, 'target': '2024-02', 'acc': 0.592905982905983, 'hss': 0.2024445433281591}","{'yyyymm': '202310', 'lead': 5, 'target': '2024-03', 'acc': 0.5025712250712251, 'hss': 0.020730003032182944}","{'yyyymm': '202310', 'lead': 6, 'target': '2024-04', 'acc': 0.5554131054131054, 'hss': 0.1527775216190119}"
"{'yyyymm': '202311', 'lead': 1, 'target': '2023-12', 'acc': 0.5841524216524216, 'hss': 0.09604639768351998}","{'yyyymm': '202311', 'lead': 2, 'target': '2024-01', 'acc': 0.5829415954415954, 'hss': 0.23452958203920227}","{'yyyymm': '202311', 'lead': 3, 'target': '2024-02', 'acc': 0.5569088319088319, 'hss': 0.1478183201068571}","{'yyyymm': '202311', 'lead': 4, 'target': '2024-03', 'acc': 0.5203703703703704, 'hss': 0.052271447932219904}","{'yyyymm': '202311', 'lead': 5, 'target': '2024-04', 'acc': 0.5631410256410256, 'hss': 0.1395619348971807}","{'yyyymm': '202311', 'lead': 6, 'target': '2024-05', 'acc': 0.5605270655270655, 'hss': 0.10154428677259052}"
"{'yyyymm': '202312', 'lead': 1, 'target': '2024-01', 'acc': 0.593005698005698, 'hss': 0.2502239469173198}","{'yyyymm': '202312', 'lead': 2, 'target': '2024-02', 'acc': 0.5431908831908832, 'hss': 0.11270291992922002}","{'yyyymm': '202312', 'lead': 3, 'target': '2024-03', 'acc': 0.5642165242165242, 'hss': 0.17063392337105726}","{'yyyymm': '202312', 'lead': 4, 'target': '2024-04', 'acc': 0.5907264957264957, 'hss': 0.2321447636277196}","{'yyyymm': '202312', 'lead': 5, 'target': '2024-05', 'acc': 0.549551282051282, 'hss': 0.07832676060026408}","{'yyyymm': '202312', 'lead': 6, 'target': '2024-06', 'acc': 0.6010826210826211, 'hss': 0.12546172898737565}"
"{'yyyymm': '202401', 'lead': 1, 'target': '2024-02', 'acc': 0.5818019943019943, 'hss': 0.18035085351094696}","{'yyyymm': '202401', 'lead': 2, 'target': '2024-03', 'acc': 0.5740527065527066, 'hss': 0.18770030476160915}","{'yyyymm': '202401', 'lead': 3, 'target': '2024-04', 'acc': 0.5941880341880342, 'hss': 0.22764015201897703}","{'yyyymm': '202401', 'lead': 4, 'target': '2024-05', 'acc': 0.5882051282051282, 'hss': 0.12448167170314611}","{'yyyymm': '202401', 'lead': 5, 'target': '2024-06', 'acc': 0.6288888888888889, 'hss': 0.15593537275502276}","{'yyyymm': '202401', 'lead': 6, 'target': '2024-07', 'acc': 0.5627849002849002, 'hss': 0.12979457564748953}"
"{'yyyymm': '202402', 'lead': 1, 'target': '2024-03', 'acc': 0.5763675213675213, 'hss': 0.17982899649916909}","{'yyyymm': '202402', 'lead': 2, 'target': '2024-04', 'acc': 0.6088176638176638, 'hss': 0.2479110920081152}","{'yyyymm': '202402', 'lead': 3, 'target': '2024-05', 'acc': 0.5616025641025642, 'hss': 0.09675053905952839}","{'yyyymm': '202402', 'lead': 4, 'target': '2024-06', 'acc': 0.6430484330484331, 'hss': 0.18260923220250985}","{'yyyymm': '202402', 'lead': 5, 'target': '2024-07', 'acc': 0.5449501424501425, 'hss': 0.0829691820937773}","{'yyyymm': '202402', 'lead': 6, 'target': '2024-08', 'acc': 0.6015099715099715, 'hss': 0.1392234084920254}"
"{'yyyymm': '202403', 'lead': 1, 'target': '2024-04', 'acc': 0.6373860398860399, 'hss': 0.3258424789831626}","{'yyyymm': '202403', 'lead': 2, 'target': '2024-05', 'acc': 0.5649501424501424, 'hss': 0.08581939349517409}","{'yyyymm': '202403', 'lead': 3, 'target': '2024-06', 'acc': 0.649985754985755, 'hss': 0.17069995245617348}","{'yyyymm': '202403', 'lead': 4, 'target': '2024-07', 'acc': 0.5431980056980057, 'hss': 0.10137858906887376}","{'yyyymm': '202403', 'lead': 5, 'target': '2024-08', 'acc': 0.5675783475783476, 'hss': 0.09119270724094455}","{'yyyymm': '202403', 'lead': 6, 'target': '2024-09', 'acc': 0.5503418803418804, 'hss': 0.04845268450946503}"
"{'yyyymm': '202404', 'lead': 1, 'target': '2024-05', 'acc': 0.6226495726495727, 'hss': 0.20801090708143077}","{'yyyymm': '202404', 'lead': 2, 'target': '2024-06', 'acc': 0.6451424501424502, 'hss': 0.2075723574300232}","{'yyyymm': '202404', 'lead': 3, 'target': '2024-07', 'acc': 0.5450569800569801, 'hss': 0.10715405845370427}","{'yyyymm': '202404', 'lead': 4, 'target': '2024-08', 'acc': 0.55991452991453, 'hss': 0.11031859536172452}","{'yyyymm': '202404', 'lead': 5, 'target': '2024-09', 'acc': 0.5576353276353276, 'hss': 0.08428823578895811}","{'yyyymm': '202404', 'lead': 6, 'target': '2024-10', 'acc': 0.628960113960114, 'hss': 0.1781023919020933}"
"{'yyyymm': '202405', 'lead': 1, 'target': '2024-06', 'acc': 0.6385897435897436, 'hss': 0.2096954345570537}","{'yyyymm': '202405', 'lead': 2, 'target': '2024-07', 'acc': 0.5578917378917378, 'hss': 0.1234846271021691}","{'yyyymm': '202405', 'lead': 3, 'target': '2024-08', 'acc': 0.5911396011396012, 'hss': 0.12145385894650067}","{'yyyymm': '202405', 'lead': 4, 'target': '2024-09', 'acc': 0.5609472934472934, 'hss': 0.055380909745366975}","{'yyyymm': '202405', 'lead': 5, 'target': '2024-10', 'acc': 0.6348789173789173, 'hss': 0.17332608647006362}","{'yyyymm': '202405', 'lead': 6, 'target': '2024-11', 'acc': 0.5873575498575498, 'hss': 0.19002933848262415}"
"{'yyyymm': '202406', 'lead': 1, 'target': '2024-07', 'acc': 0.5696652421652422, 'hss': 0.15792663902885085}","{'yyyymm': '202406', 'lead': 2, 'target': '2024-08', 'acc': 0.6137037037037038, 'hss': 0.19049725690061234}","{'yyyymm': '202406', 'lead': 3, 'target': '2024-09', 'acc': 0.5895014245014245, 'hss': 0.08034761217067402}","{'yyyymm': '202406', 'lead': 4, 'target': '2024-10', 'acc': 0.6717663817663818, 'hss': 0.23973016733787875}","{'yyyymm': '202406', 'lead': 5, 'target': '2024-11', 'acc': 0.5911965811965813, 'hss': 0.13277908385986587}","{'yyyymm': '202406', 'lead': 6, 'target': '2024-12', 'acc': 0.5848789173789174, 'hss': 0.0898385036098543}"
"{'yyyymm': '202407', 'lead': 1, 'target': '2024-08', 'acc': 0.6374786324786325, 'hss': 0.21219402231521023}","{'yyyymm': '202407', 'lead': 2, 'target': '2024-09', 'acc': 0.6069515669515669, 'hss': 0.12828685179570226}","{'yyyymm': '202407', 'lead': 3, 'target': '2024-10', 'acc': 0.6753917378917379, 'hss': 0.20230198896238336}","{'yyyymm': '202407', 'lead': 4, 'target': '2024-11', 'acc': 0.5872792022792023, 'hss': 0.14807048748819665}","{'yyyymm': '202407', 'lead': 5, 'target': '2024-12', 'acc': 0.5896509971509971, 'hss': 0.08800298843254192}",
"{'yyyymm': '202408', 'lead': 1, 'target': '2024-09', 'acc': 0.6319658119658119, 'hss': 0.15742697256085403}","{'yyyymm': '202408', 'lead': 2, 'target': '2024-10', 'acc': 0.6860470085470085, 'hss': 0.23386492315912566}","{'yyyymm': '202408', 'lead': 3, 'target': '2024-11', 'acc': 0.5933974358974359, 'hss': 0.1417296657425624}","{'yyyymm': '202408', 'lead': 4, 'target': '2024-12', 'acc': 0.598511396011396, 'hss': 0.1194281474546622}",,
"{'yyyymm': '202409', 'lead': 1, 'target': '2024-10', 'acc': 0.6898504273504273, 'hss': 0.24400367471225817}","{'yyyymm': '202409', 'lead': 2, 'target': '2024-11', 'acc': 0.5997293447293447, 'hss': 0.16260955499075924}","{'yyyymm': '202409', 'lead': 3, 'target': '2024-12', 'acc': 0.6095940170940171, 'hss': 0.13907318477532887}",,,
"{'yyyymm': '202410', 'lead': 1, 'target': '2024-11', 'acc': 0.6021296296296297, 'hss': 0.21384752778803695}","{'yyyymm': '202410', 'lead': 2, 'target': '2024-12', 'acc': 0.5761324786324786, 'hss': 0.10233960602924438}",,,,
"{'yyyymm': '202411', 'lead': 1, 'target': '2024-12', 'acc': 0.5907193732193732, 'hss': 0.1711081586830661}",,,,,
